,gas
2019-11-13,0.005128560822222222
2019-11-14,0.0
2019-11-15,0.005091755
2019-11-16,0.0
2019-11-17,0.001082458
2019-11-18,0.0017738389284433322
2019-11-19,0.001844278156391986
2019-11-20,0.0019599264677503197
2019-11-21,0.003503853229530851
2019-11-22,0.007035458688438644
2019-11-23,0.001945131069199463
2019-11-24,0.0020931023186756283
2019-11-25,0.005166770188645345
2019-11-26,0.002484961035950994
2019-11-27,0.002216289248875722
2019-11-28,0.002180140388062933
2019-11-29,0.0021057898913299567
2019-11-30,0.0025868024200868217
2019-12-01,0.002126750623779105
2019-12-02,0.00346916248604175
2019-12-03,0.0019136213186332603
2019-12-04,0.002169519102294628
2019-12-05,0.0018516662665335147
2019-12-06,0.0018223361067613258
2019-12-07,0.001622444628299981
2019-12-08,0.0017099813234785746
2019-12-09,0.0016662500352827747
2019-12-10,0.0017472748544343079
2019-12-11,0.0020042325936932646
2019-12-12,0.0021771474534915767
2019-12-13,0.001955582448343572
2019-12-14,0.0019383899865600919
2019-12-15,0.0019075379301681772
2019-12-16,0.0036916881438634826
2019-12-17,0.004905122735523642
2019-12-18,0.003986886249084365
2019-12-19,0.0034667955330056465
2019-12-20,0.0021459405041268677
2019-12-21,0.0020596867150584827
2019-12-22,0.002123744663080266
2019-12-23,0.002819561195337312
2019-12-24,0.002504441318428842
2019-12-25,0.0019747715955022176
2019-12-26,0.0021192358680471378
2019-12-27,0.0021539508081126185
2019-12-28,0.0020650427594421958
2019-12-29,0.0021776454372307674
2019-12-30,0.0019762181325742477
2019-12-31,0.0018103759632811483
2020-01-01,0.001734859311425178
2020-01-02,0.0019528192056991413
2020-01-03,0.002417364308170969
2020-01-04,0.0017437812487435286
2020-01-05,0.0021590554737400723
2020-01-06,0.002574864397407892
2020-01-07,0.002342546514409617
2020-01-08,0.004114449967579511
2020-01-09,0.0022698894805009084
2020-01-10,0.0022482392373263677
2020-01-11,0.0021143670979957376
2020-01-12,0.001657720847615554
2020-01-13,0.0016778781542148018
2020-01-14,0.0031012987436255485
2020-01-15,0.0026593920758799473
2020-01-16,0.008991104882678447
2020-01-17,0.0022362105090110124
2020-01-18,0.001968169857046982
2020-01-19,0.002449286434725589
2020-01-20,0.002132788195129516
2020-01-21,0.0017936376368289308
2020-01-22,0.002015400608275583
2020-01-23,0.002231761905254871
2020-01-24,0.002267963906670496
2020-01-25,0.0019954438883868805
2020-01-26,0.00202042540300062
2020-01-27,0.0022599572110567692
2020-01-28,0.0020669996254787945
2020-01-29,0.002427287085719612
2020-01-30,0.002211573126666177
2020-01-31,0.0024409737295641573
2020-02-01,0.002344771485026922
2020-02-02,0.0022735378702900327
2020-02-03,0.0024597369729774158
2020-02-04,0.0031930630225762546
2020-02-05,0.003359666799471019
2020-02-06,0.003899100331144891
2020-02-07,0.00378213795019671
2020-02-08,0.003095015146321775
2020-02-09,0.004254166964297826
2020-02-10,0.0028611365939285364
2020-02-11,0.00340680787019131
2020-02-12,0.004440427061873902
2020-02-13,0.004041181940671751
2020-02-14,0.003711889292959824
2020-02-15,0.0035896060809373536
2020-02-16,0.004750429153100737
2020-02-17,0.004884370602672253
2020-02-18,0.0035816608254057064
2020-02-19,0.0034729690290465215
2020-02-20,0.0035665323637162558
2020-02-21,0.002780733634072912
2020-02-22,0.0025661911488757856
2020-02-23,0.0023387662140608584
2020-02-24,0.002775864389469261
2020-02-25,0.0037073824702544625
2020-02-26,0.006358647664163627
2020-02-27,0.005095322355489855
2020-02-28,0.003803093918953622
2020-02-29,0.002601126977155955
2020-03-01,0.0026968550254612197
2020-03-02,0.0028167259240234966
2020-03-03,0.0026715757759584167
2020-03-04,0.0021444877956157907
2020-03-05,0.0023245728416174402
2020-03-06,0.0024215078320749353
2020-03-07,0.0023615919900269243
2020-03-08,0.0059065776700768955
2020-03-09,0.006863652679051678
2020-03-10,0.004014092456635736
2020-03-11,0.005808350958730811
2020-03-12,0.049056570442510536
2020-03-13,0.044444103149137076
2020-03-14,0.004025368344811337
2020-03-15,0.004584189509251165
2020-03-16,0.015528582574782242
2020-03-17,0.005010296950386211
2020-03-18,0.005004887609343417
2020-03-19,0.008664431641531288
2020-03-20,0.007902441817769171
2020-03-21,0.00418714112175591
2020-03-22,0.004753325156078551
2020-03-23,0.005789169281970494
2020-03-24,0.005073610185997144
2020-03-25,0.005355662666183162
2020-03-26,0.00326848658104184
2020-03-27,0.004049232097541613
2020-03-28,0.004455670011859685
2020-03-29,0.0034166640224358755
2020-03-30,0.003473260746274967
2020-03-31,0.0030048510655924497
2020-04-01,0.002799531988495967
2020-04-02,0.003601660725184979
2020-04-03,0.0033543876900284813
2020-04-04,0.002778086578244539
2020-04-05,0.0022624342325732235
2020-04-06,0.004908343601617427
2020-04-07,0.003932654287470829
2020-04-08,0.0033536831324238133
2020-04-09,0.002954451394093318
2020-04-10,0.003935784580788265
2020-04-11,0.0025377500379279417
2020-04-12,0.002453491225192816
2020-04-13,0.003534108088908786
2020-04-14,0.002956325037385153
2020-04-15,0.0030836359722566558
2020-04-16,0.006056400705372364
2020-04-17,0.0036503679734866423
2020-04-18,0.005151980327969811
2020-04-19,0.0036892235854414693
2020-04-20,0.004518355691835414
2020-04-21,0.004400478737247191
2020-04-22,0.004702497630295871
2020-04-23,0.005177408078067366
2020-04-24,0.003937285119275097
2020-04-25,0.004345885499613353
2020-04-26,0.004569825755889751
2020-04-27,0.004180364453149364
2020-04-28,0.003349358010652819
2020-04-29,0.007593489999488182
2020-04-30,0.007966934616786133
2020-05-01,0.0035688337024815816
