,txs
2018-11-05,184
2018-11-06,303
2018-11-07,240
2018-11-08,222
2018-11-09,173
2018-11-10,142
2018-11-11,144
2018-11-12,172
2018-11-13,204
2018-11-14,428
2018-11-15,410
2018-11-16,390
2018-11-17,199
2018-11-18,151
2018-11-19,454
2018-11-20,600
2018-11-21,650
2018-11-22,543
2018-11-23,370
2018-11-24,335
2018-11-25,502
2018-11-26,446
2018-11-27,402
2018-11-28,550
2018-11-29,355
2018-11-30,334
2018-12-01,273
2018-12-02,204
2018-12-03,358
2018-12-04,397
2018-12-05,354
2018-12-06,381
2018-12-07,568
2018-12-08,450
2018-12-09,337
2018-12-10,332
2018-12-11,459
2018-12-12,332
2018-12-13,306
2018-12-14,401
2018-12-15,305
2018-12-16,295
2018-12-17,494
2018-12-18,533
2018-12-19,691
2018-12-20,625
2018-12-21,522
2018-12-22,347
2018-12-23,457
2018-12-24,587
2018-12-25,359
2018-12-26,498
2018-12-27,384
2018-12-28,542
2018-12-29,437
2018-12-30,308
2018-12-31,334
2019-01-01,303
2019-01-02,400
2019-01-03,446
2019-01-04,345
2019-01-05,313
2019-01-06,275
2019-01-07,293
2019-01-08,311
2019-01-09,281
2019-01-10,513
2019-01-11,349
2019-01-12,238
2019-01-13,351
2019-01-14,412
2019-01-15,703
2019-01-16,369
2019-01-17,381
2019-01-18,289
2019-01-19,247
2019-01-20,314
2019-01-21,422
2019-01-22,449
2019-01-23,363
2019-01-24,334
2019-01-25,291
2019-01-26,264
2019-01-27,697
2019-01-28,387
2019-01-29,352
2019-01-30,319
2019-01-31,335
2019-02-01,277
2019-02-02,232
2019-02-03,205
2019-02-04,301
2019-02-05,570
2019-02-06,299
2019-02-07,273
2019-02-08,357
2019-02-09,303
2019-02-10,296
2019-02-11,365
2019-02-12,345
2019-02-13,279
2019-02-14,284
2019-02-15,280
2019-02-16,256
2019-02-17,288
2019-02-18,444
2019-02-19,855
2019-02-20,534
2019-02-21,420
2019-02-22,410
2019-02-23,453
2019-02-24,476
2019-02-25,445
2019-02-26,432
2019-02-27,493
2019-02-28,378
2019-03-01,353
2019-03-02,293
2019-03-03,409
2019-03-04,484
2019-03-05,456
2019-03-06,473
2019-03-07,501
2019-03-08,965
2019-03-09,344
2019-03-10,350
2019-03-11,411
2019-03-12,486
2019-03-13,950
2019-03-14,356
2019-03-15,415
2019-03-16,566
2019-03-17,335
2019-03-18,442
2019-03-19,493
2019-03-20,412
2019-03-21,447
2019-03-22,424
2019-03-23,297
2019-03-24,365
2019-03-25,470
2019-03-26,513
2019-03-27,600
2019-03-28,580
2019-03-29,463
2019-03-30,424
2019-03-31,379
2019-04-01,471
2019-04-02,1053
2019-04-03,965
2019-04-04,767
2019-04-05,622
2019-04-06,456
2019-04-07,424
2019-04-08,626
2019-04-09,541
2019-04-10,567
2019-04-11,595
2019-04-12,536
2019-04-13,403
2019-04-14,359
2019-04-15,541
2019-04-16,463
2019-04-17,429
2019-04-18,494
2019-04-19,428
2019-04-20,414
2019-04-21,388
2019-04-22,474
2019-04-23,552
2019-04-24,684
2019-04-25,663
2019-04-26,799
2019-04-27,470
2019-04-28,421
2019-04-29,512
2019-04-30,644
2019-05-01,2047
2019-05-02,579
2019-05-03,1023
2019-05-04,499
2019-05-05,482
2019-05-06,588
2019-05-07,503
2019-05-08,407
2019-05-09,422
2019-05-10,475
2019-05-11,1217
2019-05-12,784
2019-05-13,611
2019-05-14,588
2019-05-15,989
2019-05-16,1067
2019-05-17,1085
2019-05-18,615
2019-05-19,743
2019-05-20,790
2019-05-21,776
2019-05-22,681
2019-05-23,748
2019-05-24,589
2019-05-25,505
2019-05-26,761
2019-05-27,882
2019-05-28,702
2019-05-29,726
2019-05-30,937
2019-05-31,672
2019-06-01,574
2019-06-02,518
2019-06-03,605
2019-06-04,988
2019-06-05,772
2019-06-06,865
2019-06-07,841
2019-06-08,504
2019-06-09,600
2019-06-10,819
2019-06-11,732
2019-06-12,1356
2019-06-13,1409
2019-06-14,686
2019-06-15,634
2019-06-16,632
2019-06-17,698
2019-06-18,646
2019-06-19,596
2019-06-20,593
2019-06-21,830
2019-06-22,1081
2019-06-23,1204
2019-06-24,813
2019-06-25,822
2019-06-26,1780
2019-06-27,1453
2019-06-28,1174
2019-06-29,1018
2019-06-30,732
2019-07-01,927
2019-07-02,1213
2019-07-03,1209
2019-07-04,1000
2019-07-05,750
2019-07-06,618
2019-07-07,503
2019-07-08,851
2019-07-09,1435
2019-07-10,836
2019-07-11,904
2019-07-12,816
2019-07-13,601
2019-07-14,841
2019-07-15,1217
2019-07-16,923
2019-07-17,1045
2019-07-18,1094
2019-07-19,893
2019-07-20,605
2019-07-21,498
2019-07-22,653
2019-07-23,620
2019-07-24,692
2019-07-25,542
2019-07-26,579
2019-07-27,491
2019-07-28,420
2019-07-29,518
2019-07-30,536
2019-07-31,573
2019-08-01,609
2019-08-02,661
2019-08-03,487
2019-08-04,524
2019-08-05,813
2019-08-06,747
2019-08-07,691
2019-08-08,576
2019-08-09,651
2019-08-10,662
2019-08-11,409
2019-08-12,514
2019-08-13,610
2019-08-14,687
2019-08-15,821
2019-08-16,593
2019-08-17,666
2019-08-18,391
2019-08-19,528
2019-08-20,463
2019-08-21,584
2019-08-22,577
2019-08-23,509
2019-08-24,440
2019-08-25,307
2019-08-26,462
2019-08-27,433
2019-08-28,573
2019-08-29,714
2019-08-30,455
2019-08-31,370
2019-09-01,363
2019-09-02,546
2019-09-03,687
2019-09-04,498
2019-09-05,462
2019-09-06,468
2019-09-07,326
2019-09-08,344
2019-09-09,449
2019-09-10,432
2019-09-11,364
2019-09-12,449
2019-09-13,395
2019-09-14,341
2019-09-15,291
2019-09-16,443
2019-09-17,504
2019-09-18,553
2019-09-19,654
2019-09-20,558
2019-09-21,277
2019-09-22,516
2019-09-23,401
2019-09-24,1159
2019-09-25,724
2019-09-26,519
2019-09-27,1080
2019-09-28,430
2019-09-29,317
2019-09-30,635
2019-10-01,509
2019-10-02,395
2019-10-03,435
2019-10-04,423
2019-10-05,321
2019-10-06,1191
2019-10-07,836
2019-10-08,442
2019-10-09,527
2019-10-10,458
2019-10-11,496
2019-10-12,314
2019-10-13,278
2019-10-14,411
2019-10-15,453
2019-10-16,475
2019-10-17,460
2019-10-18,385
2019-10-19,270
2019-10-20,274
2019-10-21,452
2019-10-22,435
2019-10-23,539
2019-10-24,408
2019-10-25,533
2019-10-26,593
2019-10-27,461
2019-10-28,548
2019-10-29,417
2019-10-30,481
2019-10-31,418
2019-11-01,377
2019-11-02,289
2019-11-03,243
2019-11-04,399
2019-11-05,486
2019-11-06,358
2019-11-07,352
2019-11-08,427
2019-11-09,320
2019-11-10,303
2019-11-11,370
2019-11-12,482
2019-11-13,391
2019-11-14,395
2019-11-15,384
2019-11-16,308
2019-11-17,230
2019-11-18,344
2019-11-19,398
2019-11-20,392
2019-11-21,657
2019-11-22,644
2019-11-23,388
2019-11-24,286
2019-11-25,856
2019-11-26,492
2019-11-27,424
2019-11-28,418
2019-11-29,462
2019-11-30,316
2019-12-01,279
