,gas
2018-09-10,0.00029637837501365124
2018-09-11,0.0
2018-09-12,0.0014730753
2018-09-13,0.0
2018-09-14,0.0
2018-09-15,0.0
2018-09-16,0.0
2018-09-17,0.0
2018-09-18,0.0
2018-09-19,0.0
2018-09-20,0.0
2018-09-21,0.000372512
2018-09-22,0.0003265541250594075
2018-09-23,0.0
2018-09-24,0.0005511285
2018-09-25,0.0003330598476359002
2018-09-26,0.0010284828384539864
2018-09-27,0.0009218795420424684
2018-09-28,0.0013436819919788903
2018-09-29,0.001488307655387931
2018-09-30,0.0016026945499999997
2018-10-01,0.0014278422918578434
2018-10-02,0.0008589421320526581
2018-10-03,0.0013424272951982367
2018-10-04,0.0012199700990152425
2018-10-05,0.0010225554998307793
2018-10-06,0.0020621427
2018-10-07,0.0024464103
2018-10-08,0.0008915119846153846
2018-10-09,0.0008077423720238094
2018-10-10,0.001396245837
2018-10-11,0.0016981034002095362
2018-10-12,0.0015407409052430358
2018-10-13,0.002052691442307692
2018-10-14,0.00214003079
2018-10-15,0.0017507292220839716
2018-10-16,0.0017924105228321015
2018-10-17,0.0020121494467905425
2018-10-18,0.0016827896752174341
2018-10-19,0.0016403755879310343
2018-10-20,0.0009802988039473686
2018-10-21,0.0018727709090909093
2018-10-22,0.0013637526048647433
2018-10-23,0.0006846322671958291
2018-10-24,0.0007504432047205324
2018-10-25,0.0012843050657342654
2018-10-26,0.0012847228856645515
2018-10-27,0.00101136379691358
2018-10-28,0.0006526075719298245
2018-10-29,0.001220685091319605
2018-10-30,0.0008983100938162218
2018-10-31,0.0009612029571804512
2018-11-01,0.0009237475604810853
2018-11-02,0.0011770594005341875
2018-11-03,0.0011054272335897651
2018-11-04,0.000988340999762055
2018-11-05,0.0009986487862204728
2018-11-06,0.0013669469063470748
2018-11-07,0.001304056110164773
2018-11-08,0.0014389577585135129
2018-11-09,0.0012033714589285713
2018-11-10,0.00096669931905163
2018-11-11,0.0010843635296907224
2018-11-12,0.0008600914948757742
2018-11-13,0.0009998872183758737
2018-11-14,0.0010534923748830504
2018-11-15,0.001066514069749944
2018-11-16,0.0008857417106082268
2018-11-17,0.0008562166319534835
2018-11-18,0.0008142487111320723
2018-11-19,0.0009315402167704905
2018-11-20,0.0009914782669559515
2018-11-21,0.0009324287592315776
2018-11-22,0.0009765601859213018
2018-11-23,0.0008711032865453108
2018-11-24,0.000916428680326808
2018-11-25,0.0008744493131479726
2018-11-26,0.0009758058794247353
2018-11-27,0.0008719754886440128
2018-11-28,0.0008371458064679179
2018-11-29,0.0008787042696898064
2018-11-30,0.0010641474299662838
2018-12-01,0.001133082732069665
2018-12-02,0.0008865818168515023
2018-12-03,0.0010323738537129175
2018-12-04,0.001080684748356222
2018-12-05,0.0010668242676355228
2018-12-06,0.0010299458061720024
2018-12-07,0.001000799442036157
2018-12-08,0.0009135273430890908
2018-12-09,0.0008446685450808004
2018-12-10,0.0009816540480502762
2018-12-11,0.0008945534227385254
2018-12-12,0.0008868093610652794
2018-12-13,0.0008641995073312679
2018-12-14,0.0007611789901289919
2018-12-15,0.0007942773402123674
2018-12-16,0.0008462506338089695
2018-12-17,0.0008712271251698294
2018-12-18,0.0008354263152395806
2018-12-19,0.0007711810245948492
2018-12-20,0.0007468353905724833
2018-12-21,0.0010185091374315595
2018-12-22,0.0009580711208576178
2018-12-23,0.0007838252012429051
2018-12-24,0.0008044557090070116
2018-12-25,0.0007925161644686437
2018-12-26,0.0007650367637011376
2018-12-27,0.0007203074546989105
