,txs
2019-01-21,65
2019-01-22,74
2019-01-23,96
2019-01-24,95
2019-01-25,94
2019-01-26,79
2019-01-27,83
2019-01-28,124
2019-01-29,182
2019-01-30,2278
2019-01-31,1562
2019-02-01,1524
2019-02-02,484
2019-02-03,145
2019-02-04,214
2019-02-05,106
2019-02-06,111
2019-02-07,101
2019-02-08,115
2019-02-09,86
2019-02-10,65
2019-02-11,206
2019-02-12,108
2019-02-13,94
2019-02-14,84
2019-02-15,104
2019-02-16,62
2019-02-17,56
2019-02-18,147
2019-02-19,134
2019-02-20,113
2019-02-21,103
2019-02-22,94
2019-02-23,80
2019-02-24,140
2019-02-25,144
2019-02-26,120
2019-02-27,104
2019-02-28,93
2019-03-01,89
2019-03-02,80
2019-03-03,73
2019-03-04,113
2019-03-05,132
2019-03-06,137
2019-03-07,110
2019-03-08,109
2019-03-09,80
2019-03-10,64
2019-03-11,127
2019-03-12,135
2019-03-13,111
2019-03-14,95
2019-03-15,109
2019-03-16,104
2019-03-17,89
2019-03-18,127
2019-03-19,126
2019-03-20,115
2019-03-21,120
2019-03-22,106
2019-03-23,74
2019-03-24,102
2019-03-25,146
2019-03-26,138
2019-03-27,159
2019-03-28,115
2019-03-29,133
2019-03-30,105
2019-03-31,101
2019-04-01,158
2019-04-02,265
2019-04-03,245
2019-04-04,169
2019-04-05,140
2019-04-06,106
2019-04-07,99
2019-04-08,199
2019-04-09,143
2019-04-10,146
2019-04-11,158
2019-04-12,116
2019-04-13,81
2019-04-14,82
2019-04-15,121
2019-04-16,118
2019-04-17,107
2019-04-18,116
2019-04-19,104
2019-04-20,112
2019-04-21,98
2019-04-22,128
2019-04-23,129
2019-04-24,154
2019-04-25,174
2019-04-26,247
2019-04-27,143
2019-04-28,109
2019-04-29,193
2019-04-30,270
2019-05-01,530
2019-05-02,371
2019-05-03,493
2019-05-04,523
2019-05-05,503
2019-05-06,544
2019-05-07,600
2019-05-08,450
2019-05-09,401
2019-05-10,430
2019-05-11,544
2019-05-12,664
2019-05-13,684
2019-05-14,746
2019-05-15,856
2019-05-16,1008
2019-05-17,986
2019-05-18,521
2019-05-19,689
2019-05-20,730
2019-05-21,633
2019-05-22,524
2019-05-23,633
2019-05-24,610
2019-05-25,474
2019-05-26,600
2019-05-27,927
2019-05-28,668
2019-05-29,718
2019-05-30,844
2019-05-31,693
2019-06-01,485
2019-06-02,446
2019-06-03,685
2019-06-04,927
2019-06-05,801
2019-06-06,654
2019-06-07,670
2019-06-08,438
2019-06-09,522
2019-06-10,581
2019-06-11,502
2019-06-12,736
2019-06-13,811
2019-06-14,862
2019-06-15,594
2019-06-16,840
2019-06-17,698
