,txs
2019-08-29,810
2019-08-30,702
2019-08-31,448
2019-09-01,543
2019-09-02,701
2019-09-03,698
2019-09-04,674
2019-09-05,633
2019-09-06,713
2019-09-07,605
2019-09-08,422
2019-09-09,587
2019-09-10,456
2019-09-11,759
2019-09-12,676
2019-09-13,433
2019-09-14,396
2019-09-15,563
2019-09-16,966
2019-09-17,857
2019-09-18,691
2019-09-19,710
2019-09-20,480
2019-09-21,385
2019-09-22,329
2019-09-23,585
2019-09-24,1271
2019-09-25,981
2019-09-26,1130
2019-09-27,747
2019-09-28,662
2019-09-29,643
2019-09-30,810
2019-10-01,742
2019-10-02,734
2019-10-03,696
2019-10-04,659
2019-10-05,523
2019-10-06,537
2019-10-07,703
2019-10-08,620
2019-10-09,817
2019-10-10,741
2019-10-11,728
2019-10-12,581
2019-10-13,487
2019-10-14,634
2019-10-15,730
2019-10-16,843
2019-10-17,832
2019-10-18,831
2019-10-19,908
2019-10-20,762
2019-10-21,778
2019-10-22,973
2019-10-23,1051
2019-10-24,794
2019-10-25,1001
2019-10-26,940
2019-10-27,1052
2019-10-28,953
2019-10-29,923
2019-10-30,947
2019-10-31,1012
2019-11-01,882
2019-11-02,776
2019-11-03,899
2019-11-04,1064
2019-11-05,1074
2019-11-06,1098
2019-11-07,1071
2019-11-08,1080
2019-11-09,858
2019-11-10,836
2019-11-11,819
2019-11-12,1024
2019-11-13,956
2019-11-14,1005
2019-11-15,1118
2019-11-16,735
2019-11-17,704
2019-11-18,1116
2019-11-19,958
2019-11-20,779
2019-11-21,1238
2019-11-22,1312
2019-11-23,887
2019-11-24,566
2019-11-25,1570
2019-11-26,1568
2019-11-27,1485
2019-11-28,1106
2019-11-29,983
2019-11-30,798
2019-12-01,792
2019-12-02,754
2019-12-03,699
2019-12-04,805
2019-12-05,681
2019-12-06,696
2019-12-07,605
2019-12-08,540
2019-12-09,763
2019-12-10,916
2019-12-11,1533
2019-12-12,1763
2019-12-13,1704
2019-12-14,1380
2019-12-15,1298
2019-12-16,1595
2019-12-17,1893
2019-12-18,1908
2019-12-19,1553
2019-12-20,1538
2019-12-21,1202
2019-12-22,1132
2019-12-23,1355
2019-12-24,1112
2019-12-25,1072
2019-12-26,1076
2019-12-27,1203
2019-12-28,1262
2019-12-29,1350
2019-12-30,1713
2019-12-31,1477
2020-01-01,1477
2020-01-02,1950
2020-01-03,1808
2020-01-04,1588
2020-01-05,1760
2020-01-06,2026
2020-01-07,2034
2020-01-08,2231
2020-01-09,2015
2020-01-10,2085
2020-01-11,1902
2020-01-12,1388
2020-01-13,1879
2020-01-14,2150
2020-01-15,2168
2020-01-16,2205
2020-01-17,2351
2020-01-18,2034
2020-01-19,2396
2020-01-20,2329
2020-01-21,2114
2020-01-22,2169
2020-01-23,2169
2020-01-24,2308
2020-01-25,2093
2020-01-26,1940
2020-01-27,2575
2020-01-28,2513
2020-01-29,2679
2020-01-30,2415
2020-01-31,2449
2020-02-01,2463
2020-02-02,2784
2020-02-03,2876
2020-02-04,1659
2020-02-05,2878
2020-02-06,2623
2020-02-07,3179
2020-02-08,4068
2020-02-09,3207
2020-02-10,3064
2020-02-11,3360
2020-02-12,3543
2020-02-13,3542
2020-02-14,3246
2020-02-15,3027
2020-02-16,3193
2020-02-17,3542
2020-02-18,3639
2020-02-19,3443
2020-02-20,3530
2020-02-21,3467
2020-02-22,3195
2020-02-23,3463
2020-02-24,3767
2020-02-25,3750
2020-02-26,4513
2020-02-27,4617
2020-02-28,4506
2020-02-29,4125
2020-03-01,4122
2020-03-02,4711
2020-03-03,4576
2020-03-04,4451
2020-03-05,4567
2020-03-06,4874
2020-03-07,3058
2020-03-08,5320
2020-03-09,5383
2020-03-10,5400
2020-03-11,4982
2020-03-12,2926
2020-03-13,4473
2020-03-14,6506
2020-03-15,4404
2020-03-16,6221
2020-03-17,7370
2020-03-18,6965
2020-03-19,7543
2020-03-20,6655
2020-03-21,6247
2020-03-22,6271
2020-03-23,6546
2020-03-24,6664
2020-03-25,6952
2020-03-26,6645
2020-03-27,7297
2020-03-28,6103
2020-03-29,6076
2020-03-30,6912
2020-03-31,6312
2020-04-01,6198
2020-04-02,8533
2020-04-03,7500
2020-04-04,7631
2020-04-05,7957
2020-04-06,7334
2020-04-07,6806
2020-04-08,7468
2020-04-09,6226
2020-04-10,7258
2020-04-11,8112
2020-04-12,10406
2020-04-13,11015
2020-04-14,11500
2020-04-15,10294
2020-04-16,7989
2020-04-17,10420
2020-04-18,10310
2020-04-19,10236
2020-04-20,10362
2020-04-21,9492
2020-04-22,9896
2020-04-23,10618
